log_timestamp_utc,event_type,frame_seq_recv,rssi_dbm,notes,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,ack_seq_sent,ack_type_sent_hex,is_decoded_ts_valid,calculated_latency_ms,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-24T07:05:36.721+00:00Z,CTRL_PKT_RECV,10,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:05:36.734+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,10,0x55,,,,,,,,,,,,,,,
2025-06-24T07:05:40.276+00:00Z,DATA_FRAME_RECV,10,-100,,,33,32,,,,,,,,,,,,,,,,,
2025-06-24T07:05:40.286+00:00Z,DATA_ACK_SENT,,,,,,,10,0xaa,,,,,,,,,,,,,,,
2025-06-24T07:05:40.291+00:00Z,DECODE_SUCCESS,10,-100,,,,,,,True,5287,1750748735.0,-0.153,-0.447,0.906,0.6,1.2,0.0,-26.8,9.1,-4.6,33.95083999633789,126.9974365234375,78.5
2025-06-24T07:05:43.618+00:00Z,CTRL_PKT_RECV,11,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:05:43.630+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,11,0x55,,,,,,,,,,,,,,,
2025-06-24T07:05:55.645+00:00Z,CTRL_PKT_RECV,13,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:05:55.658+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,13,0x55,,,,,,,,,,,,,,,
2025-06-24T07:05:59.200+00:00Z,DATA_FRAME_RECV,13,-100,,,33,32,,,,,,,,,,,,,,,,,
2025-06-24T07:05:59.210+00:00Z,DATA_ACK_SENT,,,,,,,13,0xaa,,,,,,,,,,,,,,,
2025-06-24T07:05:59.214+00:00Z,DECODE_SUCCESS,13,-100,,,,,,,True,5211,1750748754.0,-0.156,-0.443,0.897,0.7,-1.5,1.7,-26.8,9.1,-4.6,35.467193603515625,127.66790771484375,0.0
